,continent,brand,size,period,price
0,2,2,10.7,47.65,144
1,2,3,14.0,63.13,215
2,2,2,9.0,58.76,105
3,1,1,8.0,34.88,69
4,2,2,10.0,55.53,134
5,2,2,10.5,43.14,129
6,2,2,16.0,54.86,155
7,2,1,15.0,44.14,99
8,2,1,6.5,17.46,38.5
9,2,1,5.0,21.04,36.5
10,2,2,25.0,109.38,260
11,1,1,10.4,17.67,54
12,1,1,7.4,16.41,39
13,1,1,5.4,12.02,29.5
14,2,2,15.4,49.48,109
15,2,1,12.4,48.74,89.5
16,1,1,6.0,23.21,42
17,1,1,9.0,28.64,65
18,1,3,9.0,44.95,115
19,1,1,12.4,23.77,49.5
20,1,1,7.5,20.21,36.5
21,1,3,14.0,32.62,109
22,1,1,7.0,17.84,45
23,1,2,9.0,22.82,58
24,1,2,12.0,29.48,89
25,1,1,5.5,15.61,30
26,1,2,6.0,13.25,31
27,1,3,12.0,45.78,119
28,2,1,5.5,26.53,22
29,1,3,14.2,37.11,109
30,2,2,11.0,45.12,99
31,1,2,16.0,26.09,99
32,2,3,13.5,68.63,179
33,2,2,11.1,33.71,99
34,2,3,9.8,44.45,89
35,1,2,10.0,23.74,75
36,2,3,13.0,86.42,199
37,1,3,13.0,39.71,93
38,1,2,11.7,26.52,65
39,2,2,12.3,33.89,74
40,2,3,19.5,64.3,165
41,1,3,15.2,22.55,99
42,1,1,10.0,31.86,43.5
43,1,3,11.0,53.18,94
44,2,3,17.8,74.48,189
45,2,2,11.5,34.16,75
46,2,1,12.7,31.46,59.5
47,1,1,8.0,21.34,42
48,2,1,7.5,20.83,23
49,1,2,9.0,20.59,52.5
50,2,2,14.0,33.7,99
51,2,2,12.4,32.9,89
52,2,2,8.8,27.76,65
53,1,1,8.5,30.2,54.5
54,1,1,6.0,20.85,24.5
55,1,2,11.0,26.25,52
56,1,2,11.1,21.87,62.5
57,1,3,14.5,23.88,89
58,1,1,5.0,16.66,21.5
59,2,1,21.0,43.0, 
60,2,2,5.0,12.0, 
61,2,3,13.0,20.0, 
62,2,3,31.0,19.0, 
